time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-08 00:00:00+00:00,0,0,3,1
2021-07-13 00:00:00+00:00,8,8,11,2
2021-07-15 00:00:00+00:00,3,3,5,2
2021-07-16 00:00:00+00:00,11,9,2,1
2021-07-17 00:00:00+00:00,3,3,4,3
2021-07-18 00:00:00+00:00,0,0,16,2
2021-07-19 00:00:00+00:00,0,0,2,1
2021-07-20 00:00:00+00:00,0,0,3,1
2021-07-21 00:00:00+00:00,42,28,8,3
2021-07-22 00:00:00+00:00,4,4,7,1
2021-07-23 00:00:00+00:00,2,2,46,4
2021-07-24 00:00:00+00:00,3,3,0,0
2021-07-25 00:00:00+00:00,3,3,0,0
2021-07-26 00:00:00+00:00,3,3,0,0
2021-07-27 00:00:00+00:00,4,4,0,0
2021-07-28 00:00:00+00:00,2,2,0,0
2021-07-29 00:00:00+00:00,3,3,0,0
2021-07-30 00:00:00+00:00,3,3,0,0
2021-07-31 00:00:00+00:00,5,5,0,0
2021-08-01 00:00:00+00:00,5,5,0,0
2021-08-02 00:00:00+00:00,3,3,0,0
2021-08-03 00:00:00+00:00,3,3,0,0
2021-08-04 00:00:00+00:00,2,2,0,0
2021-08-05 00:00:00+00:00,16,12,2,2
2021-08-06 00:00:00+00:00,6,5,0,0
2021-08-07 00:00:00+00:00,3,3,0,0
2021-08-08 00:00:00+00:00,2,2,0,0
2021-08-09 00:00:00+00:00,1,1,0,0
2021-08-10 00:00:00+00:00,1,1,0,0
2021-08-11 00:00:00+00:00,16,14,14,1
2021-08-12 00:00:00+00:00,20,15,4,1
2021-08-13 00:00:00+00:00,1,1,0,0
2021-08-14 00:00:00+00:00,2,2,0,0
2021-08-15 00:00:00+00:00,2,2,0,0
2021-08-16 00:00:00+00:00,2,2,0,0
2021-08-17 00:00:00+00:00,2,2,0,0
2021-08-18 00:00:00+00:00,2,2,0,0
2021-08-19 00:00:00+00:00,4,4,0,0
2021-08-20 00:00:00+00:00,3,3,0,0
2021-08-21 00:00:00+00:00,3,3,0,0
2021-08-22 00:00:00+00:00,4,4,0,0
2021-08-23 00:00:00+00:00,6,6,1,1
2021-08-24 00:00:00+00:00,2,2,0,0
2021-08-25 00:00:00+00:00,3,3,0,0
2021-08-26 00:00:00+00:00,7,7,0,0
2021-08-27 00:00:00+00:00,6,6,0,0
2021-08-28 00:00:00+00:00,3,3,0,0
2021-08-29 00:00:00+00:00,4,4,0,0
2021-08-30 00:00:00+00:00,3,3,0,0
2021-08-31 00:00:00+00:00,2,2,1,1
2021-09-01 00:00:00+00:00,1,1,0,0
2021-09-02 00:00:00+00:00,4,4,0,0
2021-09-03 00:00:00+00:00,1,1,0,0
2021-09-04 00:00:00+00:00,5,5,9,1
2021-09-05 00:00:00+00:00,3,3,0,0
